root,subcategories,entries,link
ء ب ب,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%A8_%D8%A8
ء ب ت,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%A8_%D8%AA
ء ب ث,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%A8_%D8%AB
ء ب د,0,5,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%A8_%D8%AF
ء ب ر,0,5,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%A8_%D8%B1
ء ب س,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%A8_%D8%B3
ء ب ش,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%A8_%D8%B4
ء ب ق,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%A8_%D9%82
ء ب ل,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%A8_%D9%84
ء ب ن,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%A8_%D9%86
ء ب ه,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%A8_%D9%87
ء ب و,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%A8_%D9%88
ء ب ي,0,4,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%A8_%D9%8A
ء ت م,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%AA_%D9%85
ء ت و,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%AA_%D9%88
ء ت ي,0,12,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%AA_%D9%8A
ء ث ث,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%AB_%D8%AB
ء ث ر,0,5,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%AB_%D8%B1
ء ث ل,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%AB_%D9%84
